traffic_channel,device_category,sessions_entered_funnel,unique_users,viewed_item_sessions,added_to_cart_sessions,began_checkout_sessions,purchased_sessions,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,view_to_purchase_rate,view_to_cart_dropoff_count,cart_to_checkout_dropoff_count,checkout_to_purchase_dropoff_count,view_to_cart_dropoff_rate,cart_to_checkout_dropoff_rate,checkout_to_purchase_dropoff_rate,is_high_volume_segment
Google Organic,desktop,13695,12945,13695,2463,820,403,0.17984665936473165,0.33292732440113681,0.49146341463414633,0.029426798101496898,11232,1643,417,0.82015334063526835,0.66707267559886319,0.50853658536585367,true
Direct,desktop,10402,9750,10402,2081,720,358,0.20005768121515094,0.34598750600672751,0.49722222222222223,0.034416458373389733,8321,1361,362,0.79994231878484912,0.65401249399327255,0.50277777777777777,true
Google Organic,mobile,9451,8925,9451,1780,614,321,0.18833985821606181,0.34494382022471909,0.5228013029315961,0.033964659824357209,7671,1166,293,0.81166014178393819,0.655056179775281,0.4771986970684039,true
Referral,desktop,8172,7452,8172,1661,623,341,0.2032550171316691,0.37507525586995788,0.5473515248796148,0.041727851199216841,6511,1038,282,0.79674498286833084,0.62492474413004206,0.4526484751203852,true
Other,desktop,7328,7218,7328,1399,468,213,0.19091157205240175,0.33452466047176554,0.45512820512820512,0.02906659388646288,5929,931,255,0.80908842794759828,0.66547533952823446,0.54487179487179493,true
Direct,mobile,6910,6524,6910,1358,503,270,0.19652677279305356,0.3703976435935199,0.536779324055666,0.039073806078147609,5552,855,233,0.80347322720694647,0.6296023564064801,0.463220675944334,true
Referral,mobile,5604,5149,5604,1190,438,254,0.21234832262669523,0.36806722689075633,0.57990867579908678,0.045324768022840828,4414,752,184,0.78765167737330477,0.63193277310924367,0.42009132420091322,true
Other,mobile,5024,4936,5024,917,310,140,0.18252388535031847,0.33805888767720826,0.45161290322580644,0.027866242038216561,4107,607,170,0.81747611464968151,0.66194111232279174,0.54838709677419351,true
Data Deleted / Unknown,desktop,3346,2944,3346,841,368,225,0.25134488942020322,0.43757431629013077,0.61141304347826086,0.067244471010161386,2505,473,143,0.74865511057979672,0.56242568370986923,0.38858695652173914,true
Data Deleted / Unknown,mobile,2296,2048,2296,608,262,160,0.26480836236933797,0.43092105263157893,0.61068702290076338,0.06968641114982578,1688,346,102,0.735191637630662,0.569078947368421,0.38931297709923662,true
Google CPC,desktop,1876,1868,1876,331,110,61,0.17643923240938167,0.33232628398791542,0.55454545454545456,0.032515991471215352,1545,221,49,0.82356076759061836,0.66767371601208458,0.44545454545454544,true
Google CPC,mobile,1216,1214,1216,217,67,27,0.17845394736842105,0.30875576036866359,0.40298507462686567,0.022203947368421052,999,150,40,0.821546052631579,0.69124423963133641,0.59701492537313428,true
Google Organic,tablet,517,494,517,96,31,12,0.18568665377176016,0.32291666666666669,0.38709677419354838,0.02321083172147002,421,65,19,0.81431334622823981,0.67708333333333326,0.61290322580645162,false
Direct,tablet,366,351,366,66,25,15,0.18032786885245902,0.37878787878787878,0.6,0.040983606557377046,300,41,10,0.819672131147541,0.62121212121212122,0.4,false
Other,tablet,315,312,315,59,16,8,0.1873015873015873,0.2711864406779661,0.5,0.025396825396825397,256,43,8,0.8126984126984127,0.728813559322034,0.5,false
Referral,tablet,314,292,314,63,22,14,0.20063694267515925,0.34920634920634919,0.63636363636363635,0.044585987261146494,251,41,8,0.7993630573248407,0.65079365079365081,0.36363636363636365,false
Data Deleted / Unknown,tablet,113,107,113,21,12,9,0.18584070796460178,0.5714285714285714,0.75,0.079646017699115043,92,9,3,0.81415929203539816,0.4285714285714286,0.25,false
Google CPC,tablet,75,75,75,16,7,3,0.21333333333333335,0.4375,0.42857142857142855,0.04,59,9,4,0.78666666666666663,0.5625,0.5714285714285714,false